#apigroup,version,name,id,sub_id,namespaced,create,delete,deletecollection,get,list,patch,update,watch
admissionregistration.k8s.io,v1,mutatingwebhookconfigurations,41,0,false,create,delete,deletecollection,get,list,patch,update,watch
admissionregistration.k8s.io,v1,validatingwebhookconfigurations,42,0,false,create,delete,deletecollection,get,list,patch,update,watch
apiextensions.k8s.io,v1,customresourcedefinitions,801,0,false,create,delete,deletecollection,get,list,patch,update,watch
apiextensions.k8s.io,v1,customresourcedefinitions/status,801,1,false,,,,get,,patch,update,
apiregistration.k8s.io,v1,apiservices,800,0,false,create,delete,deletecollection,get,list,patch,update,watch
apiregistration.k8s.io,v1,apiservices/status,800,1,false,,,,get,,patch,update,
apps,v1,controllerrevisions,39,0,true,create,delete,deletecollection,get,list,patch,update,watch
apps,v1,daemonsets,44,0,true,create,delete,deletecollection,get,list,patch,update,watch
apps,v1,daemonsets/status,44,1,true,,,,get,,patch,update,
apps,v1,deployments,16,0,true,create,delete,deletecollection,get,list,patch,update,watch
apps,v1,deployments/scale,16,2,true,,,,get,,patch,update,
apps,v1,deployments/status,16,1,true,,,,get,,patch,update,
apps,v1,replicasets,17,0,true,create,delete,deletecollection,get,list,patch,update,watch
apps,v1,replicasets/scale,17,2,true,,,,get,,patch,update,
apps,v1,replicasets/status,17,1,true,,,,get,,patch,update,
apps,v1,statefulsets,18,0,true,create,delete,deletecollection,get,list,patch,update,watch
apps,v1,statefulsets/scale,18,2,true,,,,get,,patch,update,
apps,v1,statefulsets/status,18,1,true,,,,get,,patch,update,
authentication.k8s.io,v1,selfsubjectreviews,12,0,false,create,,,,,,,
authentication.k8s.io,v1,tokenreviews,806,0,false,create,,,,,,,
authorization.k8s.io,v1,localsubjectaccessreviews,27,0,true,create,,,,,,,
authorization.k8s.io,v1,selfsubjectaccessreviews,13,0,false,create,,,,,,,
authorization.k8s.io,v1,selfsubjectrulesreviews,14,0,false,create,,,,,,,
authorization.k8s.io,v1,subjectaccessreviews,28,0,false,create,,,,,,,
autoscaling,v2,horizontalpodautoscalers,803,0,true,create,delete,deletecollection,get,list,patch,update,watch
autoscaling,v2,horizontalpodautoscalers/status,803,1,true,,,,get,,patch,update,
batch,v1,cronjobs,19,0,true,create,delete,deletecollection,get,list,patch,update,watch
batch,v1,cronjobs/status,19,1,true,,,,get,,patch,update,
batch,v1,jobs,20,0,true,create,delete,deletecollection,get,list,patch,update,watch
batch,v1,jobs/status,20,1,true,,,,get,,patch,update,
certificates.k8s.io,v1,certificatesigningrequests,9,0,false,create,delete,deletecollection,get,list,patch,update,watch
certificates.k8s.io,v1,certificatesigningrequests/approval,9,2,false,,,,get,,patch,update,
certificates.k8s.io,v1,certificatesigningrequests/status,9,1,false,,,,get,,patch,update,
coordination.k8s.io,v1,leases,29,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,bindings,900,0,true,create,,,,,,,
core,v1,componentstatuses,901,0,false,,,,get,list,,,
core,v1,configmaps,3,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,endpoints,902,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,events,40,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,limitranges,33,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,namespaces,10,0,false,create,delete,,get,list,patch,update,watch
core,v1,namespaces/finalize,10,2,false,,,,,,,update,
core,v1,namespaces/status,10,1,false,,,,get,,patch,update,
core,v1,nodes,15,0,false,create,delete,deletecollection,get,list,patch,update,watch
core,v1,nodes/proxy,15,8,false,create,delete,,get,,patch,update,
core,v1,nodes/status,15,1,false,,,,get,,patch,update,
core,v1,persistentvolumeclaims,21,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,persistentvolumeclaims/status,21,1,true,,,,get,,patch,update,
core,v1,persistentvolumes,22,0,false,create,delete,deletecollection,get,list,patch,update,watch
core,v1,persistentvolumes/status,22,1,false,,,,get,,patch,update,
core,v1,pods,1,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,pods/attach,1,2,true,create,,,get,,,,
core,v1,pods/binding,1,3,true,create,,,,,,,
core,v1,pods/ephemeralcontainers,1,7,true,,,,get,,patch,update,
core,v1,pods/eviction,1,9,true,create,,,,,,,
core,v1,pods/exec,1,4,true,create,,,get,,,,
core,v1,pods/log,1,5,true,,,,get,,,,
core,v1,pods/portforward,1,6,true,create,,,get,,,,
core,v1,pods/proxy,1,8,true,create,delete,,get,,patch,update,
core,v1,pods/status,1,1,true,,,,get,,patch,update,
core,v1,podtemplates,35,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,replicationcontrollers,904,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,replicationcontrollers/scale,904,2,true,,,,get,,patch,update,
core,v1,replicationcontrollers/status,904,1,true,,,,get,,patch,update,
core,v1,resourcequotas,11,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,resourcequotas/status,11,1,true,,,,get,,patch,update,
core,v1,secrets,2,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,serviceaccounts,4,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,serviceaccounts/token,4,2,true,create,,,,,,,
core,v1,services,26,0,true,create,delete,deletecollection,get,list,patch,update,watch
core,v1,services/proxy,26,8,true,create,delete,,get,,patch,update,
core,v1,services/status,26,1,true,,,,get,,patch,update,
discovery.k8s.io,v1,endpointslices,23,0,true,create,delete,deletecollection,get,list,patch,update,watch
events.k8s.io,v1,events,903,0,true,create,delete,deletecollection,get,list,patch,update,watch
flowcontrol.apiserver.k8s.io,v1beta3,flowschemas,802,0,false,create,delete,deletecollection,get,list,patch,update,watch
flowcontrol.apiserver.k8s.io,v1beta3,flowschemas/status,802,1,false,,,,get,,patch,update,
flowcontrol.apiserver.k8s.io,v1beta3,prioritylevelconfigurations,805,0,false,create,delete,deletecollection,get,list,patch,update,watch
flowcontrol.apiserver.k8s.io,v1beta3,prioritylevelconfigurations/status,805,1,false,,,,get,,patch,update,
networking.k8s.io,v1,ingressclasses,24,0,false,create,delete,deletecollection,get,list,patch,update,watch
networking.k8s.io,v1,ingresses,25,0,true,create,delete,deletecollection,get,list,patch,update,watch
networking.k8s.io,v1,ingresses/status,25,1,true,,,,get,,patch,update,
networking.k8s.io,v1,networkpolicies,34,0,true,create,delete,deletecollection,get,list,patch,update,watch
node.k8s.io,v1,runtimeclasses,43,0,false,create,delete,deletecollection,get,list,patch,update,watch
policy,v1,poddisruptionbudgets,804,0,true,create,delete,deletecollection,get,list,patch,update,watch
policy,v1,poddisruptionbudgets/status,804,1,true,,,,get,,patch,update,
rbac.authorization.k8s.io,v1,clusterrolebindings,8,0,false,create,delete,deletecollection,get,list,patch,update,watch
rbac.authorization.k8s.io,v1,clusterroles,7,0,false,create,delete,deletecollection,get,list,patch,update,watch
rbac.authorization.k8s.io,v1,rolebindings,6,0,true,create,delete,deletecollection,get,list,patch,update,watch
rbac.authorization.k8s.io,v1,roles,5,0,true,create,delete,deletecollection,get,list,patch,update,watch
scheduling.k8s.io,v1,priorityclasses,36,0,false,create,delete,deletecollection,get,list,patch,update,watch
storage.k8s.io,v1,csidrivers,30,0,false,create,delete,deletecollection,get,list,patch,update,watch
storage.k8s.io,v1,csinodes,31,0,false,create,delete,deletecollection,get,list,patch,update,watch
storage.k8s.io,v1,csistoragecapacities,32,0,true,create,delete,deletecollection,get,list,patch,update,watch
storage.k8s.io,v1,storageclasses,37,0,false,create,delete,deletecollection,get,list,patch,update,watch
storage.k8s.io,v1,volumeattachments,38,0,false,create,delete,deletecollection,get,list,patch,update,watch
storage.k8s.io,v1,volumeattachments/status,38,1,false,,,,get,,patch,update,
unknown.1company-name.com,noversion,externalcrd,666,0,false,create,delete,deletecollection,get,list,patch,update,watch
unknown.1company-name.com,noversion,externalcrdwithns,667,0,true,create,delete,deletecollection,get,list,patch,update,watch
